,year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
125,2018,05,0.0,0.0,0.0,5720246657.0,3675652396.0,2044594261.0
126,2018,06,0.0,0.0,0.0,5267532804.5,3278649434.0,1988883370.5
127,2018,07,0.0,0.0,0.0,5590108465.0,3457051589.0,2133056876.0
128,2018,08,0.0,0.0,0.0,5492811869.5,3399130789.0,2093681080.5
129,2018,09,0.0,0.0,0.0,5422392353.0,3433832231.0,1988560122.0
130,2018,10,0.0,0.0,0.0,5677501454.5,3640606578.0,2036894876.5
131,2018,11,0.0,0.0,0.0,5465306582.0,3448616562.0,2016690020.0
132,2018,12,0.0,0.0,0.0,5524213992.0,3379686909.0,2144527083.0
133,2019,01,0.0,0.0,0.0,5914816416.5,3616017826.0,2298798590.5
134,2019,02,0.0,0.0,0.0,5253976932.5,3244921935.0,2009054997.5
135,2019,03,0.0,0.0,0.0,5643031761.0,3439386600.0,2203645161.0
136,2019,04,0.0,0.0,0.0,5461066327.0,3330234244.0,2130832083.0
137,2019,05,0.0,0.0,0.0,5571842332.0,3364959217.0,2206883115.0
138,2019,06,0.0,0.0,0.0,5129610873.5,2986618238.0,2142992635.5
139,2019,07,0.0,0.0,0.0,5419290774.0,3140657554.0,2278633220.0
140,2019,08,0.0,0.0,0.0,5245759469.5,2979881198.0,2265878271.5
141,2019,09,0.0,0.0,0.0,5280341736.5,3061362632.0,2218979104.5
142,2019,10,0.0,0.0,0.0,5841699417.0,3588403486.0,2253295931.0
143,2019,11,0.0,0.0,0.0,5488086274.0,3252465442.0,2235620832.0
144,2019,12,0.0,0.0,0.0,5374186640.0,3097051994.0,2277134646.0
145,2020,01,0.0,0.0,0.0,5856555050.0,3440480235.0,2416074815.0
146,2020,02,0.0,0.0,0.0,5385920965.0,3176520359.0,2209400606.0
147,2020,03,0.0,0.0,0.0,5755633551.5,3412498274.0,2343135277.5
148,2020,04,0.0,0.0,0.0,6551243583.5,3798372613.0,2752870970.5
